Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
OR3A2		1	1	507	0.2%	No
IRF7		2	2	312	0.6%	No
IRS1		19	18	2213	0.8%	Yes
ORC1		9	8	1193	0.7%	No
ORC2		8	8	1060	0.8%	No
SH3PXD2B		7	6	727	0.8%	No
ISG20		2	2	338	0.6%	No
CDH11		11	9	786	1.1%	Yes
NSUN5P2		2	2	370	0.5%	No
PPP1R27		4	4	1116	0.4%	No
CYP4X1		6	6	1238	0.5%	No
ITGA9		11	11	1454	0.8%	No
ITGAD		15	14	1554	0.9%	No
ITGAE		5	5	919	0.5%	No
ITGAL		11	10	1454	0.7%	No
ITGAM		16	13	1454	0.9%	No
SLX4IP		1	1	122	0.8%	No
GPRIN3		10	9	1200	0.8%	No
CDK7		4	4	845	0.5%	No
FOLR3		5	5	1238	0.4%	No
CDK6		5	5	1491	0.3%	Yes
CDK5		3	3	868	0.3%	No
CDK4		3	3	574	0.5%	Yes
CDK3		2	2	149	1.3%	No
CDK2		6	6	1432	0.4%	No
CDH18		12	9	975	0.9%	No
CDH17		11	11	1454	0.8%	No
FOLH1		18	18	1554	1.2%	No
CDH16		5	5	947	0.5%	No
CDH15		5	5	868	0.6%	No
CDH13		6	6	1013	0.6%	No
ITGA2B		11	9	1280	0.7%	No
BOD1L2		3	3	635	0.5%	No
ITGA3		4	4	528	0.8%	No
ITGA4		11	10	1264	0.8%	No
ITGA5		9	9	1554	0.6%	No
DYNAP		1	1	122	0.8%	No
ITGA7		18	11	1242	0.9%	No
KCTD1		3	3	962	0.3%	No
METTL24		3	3	187	1.6%	No
ITGB3		14	14	1611	0.9%	No
ITGB4		14	14	1157	1.2%	No
EIF6		2	2	419	0.5%	No
ITGB5		10	10	1454	0.7%	No
COX18		1	1	216	0.5%	No
ITGB6		4	4	629	0.6%	No
ITGB7		5	4	709	0.6%	No
CDKN3		1	1	100	1.0%	No
YIPF7		7	7	1364	0.5%	No
CDKN2C		2	2	57	3.5%	Yes
FRYL		18	17	1374	1.2%	No
CDKN2B		1	1	504	0.2%	Yes
CDKN2A		23	21	1926	1.1%	Yes
FPR3		7	7	1126	0.6%	No
CDKN1B		49	44	2801	1.6%	Yes
FPR2		2	2	687	0.3%	No
CDKN1A		10	10	1541	0.6%	Yes
FPR1		5	5	1025	0.5%	No
FPGS		6	6	1215	0.5%	No
CDK9		2	2	361	0.6%	No
CDK8		8	8	1479	0.5%	Yes
FOSL2		6	6	1332	0.5%	No
FOSB		6	6	1216	0.5%	No
ITGAV		10	9	1303	0.7%	No
ITGAX		16	12	1374	0.9%	No
ITGB1		8	8	1125	0.7%	No
ITGB2		12	12	1454	0.8%	No
MDS2		1	1	100	1.0%	Yes
BOD1L1		16	15	1100	1.4%	No
GOLGA8H		2	2	30	6.7%	No
RNF175		2	2	246	0.8%	No
CDX1		2	2	122	1.6%	No
CD52		2	2	697	0.3%	No
TAS2R43		6	4	687	0.6%	No
CDSN		3	3	845	0.4%	No
TAS2R41		2	2	302	0.7%	No
CDS1		6	6	1152	0.5%	No
TAS2R40		4	4	1025	0.4%	No
TAS2R39		3	3	152	2.0%	No
CDR2		8	8	1454	0.6%	No
CDR1		4	4	1093	0.4%	No
CDO1		4	4	1026	0.4%	No
ITGB8		6	6	962	0.6%	No
ITIH1		5	4	819	0.5%	No
ITIH2		5	4	438	0.9%	No
ITIH3		7	7	1374	0.5%	No
TAS2R19		2	2	629	0.3%	No
TAS2R30		3	3	926	0.3%	No
TAS2R46		2	2	687	0.3%	No
TAS2R31		3	3	507	0.6%	No
CEBPG		1	1	100	1.0%	No
CEBPE		2	2	361	0.6%	No
CEBPA		5	5	1040	0.5%	Yes
TAS2R50		4	4	453	0.9%	No
TAS2R20		4	4	281	1.4%	No
CEACAM5		8	8	919	0.9%	No
CLGN		8	5	831	0.6%	No
CDX4		2	2	723	0.3%	No
CDX2		1	1	122	0.8%	Yes
RDH8		2	2	370	0.5%	No
CARD18		3	3	609	0.5%	No
CES1		9	9	1269	0.7%	No
CENPF		20	20	1469	1.4%	No
CENPE		37	33	1611	2.0%	No
ENPP5		3	3	723	0.4%	No
CENPC		9	7	925	0.8%	No
PRDM4		10	10	1369	0.7%	No
PRDM5		3	3	645	0.5%	No
CENPB		5	4	1084	0.4%	No
CENPA		5	5	702	0.7%	Yes
KIAA1671		5	5	757	0.7%	No
TXNRD3		5	5	586	0.9%	No
CEL		8	7	1105	0.6%	No
HNRNPUL1		7	7	1238	0.6%	No
MICALL1		6	5	609	0.8%	No
TUBGCP6		13	13	1554	0.8%	No
RPP14		1	1	507	0.2%	No
RIMBP3		6	6	1238	0.5%	No
PTCHD1		16	13	1374	0.9%	No
ATE1		1	1	216	0.5%	No
KATNA1		4	4	913	0.4%	No
SSC5D		14	12	1484	0.8%	No
KRR1		2	2	290	0.7%	No
PRDM7		4	4	780	0.5%	No
SHC2		3	3	845	0.4%	No
CTSC		1	1	180	0.6%	No
UHRF2		7	7	585	1.2%	No
CFL2		1	1	216	0.5%	No
CFL1		2	2	95	2.1%	No
KIAA1549L		26	21	1554	1.4%	No
CETP		4	4	729	0.5%	No
BTN3A1		7	7	1454	0.5%	No
CETN2		2	2	316	0.6%	No
CETN1		3	2	222	0.9%	No
STRIP1		8	8	1274	0.6%	No
EMILIN2		16	15	1519	1.0%	No
MYLK2		14	13	1611	0.8%	No
OBSCN		87	75	1511	5.0%	No
CIT		37	33	1649	2.0%	No
ZCCHC3		1	1	239	0.4%	No
ALG2		8	8	1002	0.8%	No
MAGEB10		5	4	656	0.6%	No
HIBADH		1	1	216	0.5%	No
TRIM5		7	7	1238	0.6%	No
EMILIN1		7	7	430	1.6%	No
SYDE1		7	6	1035	0.6%	No
CEP43		3	3	635	0.5%	Yes
CFTR		26	21	1619	1.3%	No
MAGT1		3	2	338	0.6%	No
RBM48		2	2	455	0.4%	No
DCAF8L1		16	16	1619	1.0%	No
CEACAM8		7	7	825	0.8%	No
CCDC112		6	6	962	0.6%	No
CEACAM7		2	2	280	0.7%	No
UNC13C		26	20	1404	1.4%	No
MALSU1		1	1	239	0.4%	No
CEACAM3		3	3	845	0.4%	No
EIF2AK4		12	11	1112	1.0%	No
CGA		2	2	290	0.7%	No
FHIP1B		16	16	1554	1.0%	No
TEX35		5	5	629	0.8%	No
PLEKHN1		6	6	1116	0.5%	No
RGS8		3	3	629	0.5%	No
SLC10A7		2	2	246	0.8%	No
KIRREL2		13	12	1581	0.8%	No
SLX9		2	2	419	0.5%	No
DTNBP1		6	5	767	0.7%	No
SMIM21		1	1	190	0.5%	No
TMEM222		1	1	216	0.5%	No
PTGR3		1	1	122	0.8%	No
OR6C65		1	1	239	0.4%	No
OR6C68		2	2	338	0.6%	No
TEX55		7	7	1432	0.5%	No
ADGRV1		59	46	1554	3.0%	No
IGSF11		2	2	746	0.3%	No
CEACAM4		1	1	216	0.5%	No
KATNAL1		4	4	823	0.5%	No
WDR54		3	3	788	0.4%	No
SIGLEC15		4	4	1084	0.4%	No
MND1		1	1	507	0.2%	No
NSRP1		3	2	338	0.6%	No
ENKD1		3	3	461	0.7%	No
ZRANB3		10	10	1238	0.8%	No
FAM153A		3	3	609	0.5%	No
ARL10		3	3	609	0.5%	No
CDNF		2	2	290	0.7%	No
ALDH16A1		3	3	518	0.6%	No
CPT1C		15	11	1372	0.8%	No
FBXO30		8	7	844	0.8%	No
RAB6C		3	3	609	0.5%	No
FAM186B		6	6	819	0.7%	No
HORMAD1		9	9	1554	0.6%	No
ARMC2		4	4	338	1.2%	No
PGAM4		1	1	507	0.2%	No
KBTBD7		1	1	216	0.5%	No
C3ORF20		6	6	819	0.7%	No
ANKRD27		6	6	677	0.9%	No
QRICH2		19	19	1619	1.2%	No
MYCBPAP		15	12	1065	1.1%	No
TKTL2		8	7	1454	0.5%	No
FSCB		10	10	1243	0.8%	No
TMEM192		2	2	290	0.7%	No
UCN3		1	1	122	0.8%	No
SIGLEC11		3	3	797	0.4%	No
SLC2A13		5	3	629	0.5%	No
PODN		12	12	1332	0.9%	No
CCDC18		11	11	1619	0.7%	No
TCEANC2		3	3	609	0.5%	No
GLRA4		6	6	757	0.8%	No
CNMD		5	5	677	0.7%	No
SH2D7		3	3	342	0.9%	No
WWP2		10	10	1184	0.8%	No
ZNF704		1	1	190	0.5%	No
SOX30		2	2	537	0.4%	No
DUS4L		1	1	65	1.5%	No
UBE2C		1	1	216	0.5%	No
CNTRL		26	24	1511	1.6%	Yes
ANO3		7	7	1156	0.6%	No
KIF21B		25	25	1554	1.6%	No
PDS5B		13	12	1554	0.8%	Yes
FNBP1		13	12	1092	1.1%	Yes
SMG1		35	31	1616	1.9%	Yes
OR10J5		6	5	1084	0.5%	No
MYT1L		26	24	1331	1.8%	No
MON2		21	21	1554	1.4%	No
PDXDC1		12	12	1454	0.8%	No
TNIK		17	16	1511	1.1%	No
SNRNP35		5	5	977	0.5%	No
NEUROG3		7	7	1238	0.6%	No
RAPGEF4		7	7	960	0.7%	No
RALYL		5	5	1152	0.4%	No
ADGRG4		49	39	1646	2.4%	No
CNTN4		15	14	1554	0.9%	No
C16ORF74		1	1	216	0.5%	No
TRIM31		1	1	122	0.8%	No
TOPBP1		14	14	1554	0.9%	No
CDC20B		5	5	845	0.6%	No
TPPP		1	1	507	0.2%	No
STMN2		2	1	122	0.8%	No
RWDD4		2	2	406	0.5%	No
NMNAT2		4	4	819	0.5%	No
CLUAP1		3	3	926	0.3%	No
LRRN4		5	5	1100	0.5%	No
ZHX3		5	5	1025	0.5%	No
HGSNAT		4	4	629	0.6%	No
ENDOD1		4	4	438	0.9%	No
ZSWIM8		22	20	1554	1.3%	No
NCOA6		21	21	1454	1.4%	No
LRRC56		3	3	122	2.5%	No
TRIOBP		28	23	1182	1.9%	No
HSF2BP		2	2	406	0.5%	No
RER1		1	1	190	0.5%	No
SEPTIN10		7	6	1454	0.4%	No
B4GAT1		4	4	968	0.4%	No
PIM2		10	8	1338	0.6%	No
MID2		9	9	1424	0.6%	No
SPTSSB		1	1	239	0.4%	No
TMCC1		10	10	1121	0.9%	No
SPANXN4		1	1	507	0.2%	No
BUD23		4	4	936	0.4%	No
PDZRN3		12	11	1035	1.1%	No
UNC13A		28	26	1611	1.6%	No
MYO16		29	25	1554	1.6%	No
KDM1A		5	5	693	0.7%	No
RBM34		5	5	823	0.6%	No
PRIMPOL		6	6	903	0.7%	No
BAGE2		1	1	190	0.5%	No
SNRNP200		22	20	1611	1.2%	No
PPIL4		2	2	723	0.3%	No
PALLD		14	13	1697	0.8%	No
UPK1A		1	1	100	1.0%	No
TENT4A		6	6	1274	0.5%	No
ADRM1		3	3	564	0.5%	No
SLC35D2		5	5	1116	0.4%	No
RNF183		2	2	361	0.6%	No
OR2T3		7	7	936	0.7%	No
OR2T8		4	4	551	0.7%	No
OR2W3		6	6	395	1.5%	No
OR14K1		5	4	819	0.5%	No
CPSF6		5	5	1332	0.4%	No
RTL8B		1	1	216	0.5%	No
NUDT21		1	1	507	0.2%	No
OGFR		7	7	635	1.1%	No
SAMD4A		4	4	746	0.5%	No
PHLPP2		6	6	723	0.8%	No
ZNF292		21	20	1554	1.3%	No
PDZD2		26	26	1646	1.6%	No
WDTC1		7	7	583	1.2%	No
XPO7		12	12	1215	1.0%	No
KDM4B		11	11	1329	0.8%	No
MAST3		7	7	947	0.7%	No
USP33		13	12	1332	0.9%	No
FBF1		16	15	1511	1.0%	No
ZNF813		7	7	522	1.3%	No
DOP1A		24	24	1519	1.6%	No
ATCAY		3	3	697	0.4%	No
DDX52		5	4	338	1.2%	No
COL27A1		23	20	1481	1.4%	No
ZPBP		3	3	222	1.4%	No
OR6F1		5	5	1114	0.4%	No
ABHD2		7	6	786	0.8%	No
WWP1		9	9	1215	0.7%	Yes
OR5H15		2	2	607	0.3%	No
OR5K3		3	3	396	0.8%	No
OR5K4		2	2	210	1.0%	No
RAB35		4	4	609	0.7%	Yes
WDFY3		39	37	1619	2.3%	No
GPR160		5	5	866	0.6%	No
DAAM1		8	8	1158	0.7%	No
MAPKBP1		12	11	1315	0.8%	No
PLCH1		27	18	1584	1.1%	No
FETUB		8	7	1215	0.6%	No
KLHDC10		4	4	1093	0.4%	No
CYFIP2		23	19	1581	1.2%	No
OR5H14		2	2	122	1.6%	No
AKAP8L		8	8	1274	0.6%	No
VAX1		2	2	216	0.9%	No
TDRKH		7	7	1200	0.6%	No
TMPRSS13		6	5	1058	0.5%	No
LILRB3		5	5	757	0.7%	No
LILRA1		16	12	1303	0.9%	No
LILRA2		9	9	1364	0.7%	No
LILRA3		6	5	845	0.6%	No
DCAF4L2		16	16	1848	0.9%	No
RAB31		3	3	316	0.9%	No
STK38L		8	8	1215	0.7%	No
SPEN		117	102	2494	4.1%	Yes
FBXO21		21	19	1549	1.2%	No
GOLGA8A		2	2	419	0.5%	No
EXOSC7		2	2	338	0.6%	No
FAIM2		3	3	312	1.0%	No
CNOT1		19	17	1484	1.1%	No
LGALS12		8	8	876	0.9%	No
RAB21		2	2	723	0.3%	No
ADAP1		1	1	122	0.8%	No
ABCC11		13	13	1432	0.9%	No
RIPK3		3	3	723	0.4%	No
STON1		5	5	746	0.7%	No
FUNDC1		2	2	607	0.3%	No
OR4A47		4	4	439	0.9%	No
ZNF440		8	7	1099	0.6%	No
MIER3		8	8	1004	0.8%	No
ZNF285		6	6	808	0.7%	No
IL21		2	2	607	0.3%	No
TTC23L		1	1	507	0.2%	No
CHORDC1		5	5	1116	0.4%	No
PARP15		7	7	868	0.8%	No
CCDC159		6	6	1142	0.5%	No
SWSAP1		6	6	1084	0.6%	No
IL24		1	1	216	0.5%	No
DGCR6L		2	2	122	1.6%	No
SHANK3		6	6	845	0.7%	No
SLC27A2		6	6	786	0.8%	No
SLC27A3		4	3	877	0.3%	No
KRTAP4-16		2	2	746	0.3%	No
SPINK5		11	11	1374	0.8%	No
SHISAL1		9	9	1116	0.8%	No
KIF2C		7	7	1002	0.7%	No
CCDC85B		1	1	122	0.8%	No
LILRB4		4	4	122	3.3%	No
OR2T35		4	4	926	0.4%	No
ARSK		7	7	1332	0.5%	No
GLIPR1		8	8	1116	0.7%	No
FAM81B		6	6	1215	0.5%	No
AP3M1		9	9	1432	0.6%	No
PABPC1		9	8	1454	0.6%	No
ZNF491		1	1	507	0.2%	No
ZNF441		1	1	507	0.2%	No
SEC22A		4	4	1093	0.4%	No
FAM229B		1	1	507	0.2%	No
LIAS		4	4	754	0.5%	No
TRIM9		6	5	1264	0.4%	No
KLK11		1	1	65	1.5%	No
TLK2		12	12	1338	0.9%	No
OR2T27		6	6	731	0.8%	No
TMSB15A		1	1	507	0.2%	No
ATF7		1	1	216	0.5%	No
KDELR3		4	4	1116	0.4%	No
TMED1		1	1	190	0.5%	No
FAM111A		9	9	1321	0.7%	No
ZNF567		9	8	1116	0.7%	No
MTX3		4	3	338	0.9%	No
KIAA0825		15	15	1554	1.0%	No
GPR150		3	3	338	0.9%	No
SLC17A9		3	3	338	0.9%	No
VSTM2A		2	2	316	0.6%	No
DTWD2		1	1	507	0.2%	No
TTLL9		9	6	1454	0.4%	No
DUSP21		8	8	1332	0.6%	No
FAM205A		12	12	1454	0.8%	No
ZNF114		7	7	767	0.9%	No
GPATCH3		5	4	903	0.4%	No
IL4I1		2	2	406	0.5%	No
NAPB		2	2	216	0.9%	No
RELL2		1	1	507	0.2%	No
ZBED8		12	12	1389	0.9%	No
TNN		18	18	1331	1.4%	No
CHTF18		7	6	1238	0.5%	No
CNTNAP3B		10	8	419	1.9%	No
ZNF335		11	11	1337	0.8%	No
CIDEC		3	3	195	1.5%	No
ELMO2		3	3	572	0.5%	No
BLOC1S5		4	4	664	0.6%	No
GALNT11		13	13	1497	0.9%	No
FAM174A		1	1	190	0.5%	No
UBQLN3		5	5	1035	0.5%	No
IL21R		10	9	975	0.9%	Yes
GALNT9		2	2	629	0.3%	No
ATP6V0A4		11	11	1295	0.8%	No
IL22		3	3	797	0.4%	No
DEF6		6	5	999	0.5%	No
ITSN2		14	12	1165	1.0%	No
STEEP1		3	2	534	0.4%	No
MRPS14		2	2	723	0.3%	No
ZNF667		5	5	933	0.5%	No
MCUR1		1	1	507	0.2%	No
ZNF383		5	5	455	1.1%	No
PCIF1		4	4	179	2.2%	No
ITPK1		9	9	1056	0.9%	No
ANKEF1		4	4	316	1.3%	No
XPNPEP3		9	7	1062	0.7%	No
ITPKA		4	4	845	0.5%	No
ITPKB		15	15	1238	1.2%	No
CHP2		2	2	57	3.5%	No
ITPR1		34	31	1676	1.8%	No
ITPR2		25	22	1484	1.5%	No
CUZD1		6	6	503	1.2%	No
ITIH4		5	5	1035	0.5%	No
ITK		14	12	1619	0.7%	Yes
ZFTRAF1		2	2	746	0.3%	No
STT3A		2	2	220	0.9%	No
GEMIN4		5	5	823	0.6%	No
KANSL1L		5	5	825	0.6%	No
FAM227A		3	3	338	0.9%	No
PEG10		7	7	1454	0.5%	No
NECAB3		1	1	180	0.6%	No
GPSM3		1	1	507	0.2%	No
FKBPL		3	3	823	0.4%	No
ZNF579		4	4	845	0.5%	No
SVIP		1	1	30	3.3%	No
DMRTC1		1	1	507	0.2%	No
DMRTC2		6	6	541	1.1%	No
KDM4C		8	7	999	0.7%	Yes
JAK1		43	37	2639	1.4%	Yes
PPRC1		7	7	933	0.8%	No
JAK2		19	19	1767	1.1%	Yes
JAK3		24	23	2207	1.0%	Yes
FAM217B		4	4	809	0.5%	No
ERC1		9	9	1432	0.6%	Yes
EXPH5		14	14	1374	1.0%	No
TRIM35		4	4	244	1.6%	No
ITPR3		25	25	1611	1.6%	No
IVD		4	4	1142	0.4%	No
IVL		6	6	528	1.1%	No
AVL9		7	7	1454	0.5%	No
ANO7		10	8	1454	0.6%	No
JAG2		6	5	845	0.6%	No
FHIP1A		8	7	1035	0.7%	No
DMRTA2		2	2	338	0.6%	No
DMRTA1		3	3	746	0.4%	No
ARHGAP26		6	6	1238	0.5%	Yes
JUNB		2	2	216	0.9%	No
TTLL5		16	15	1554	1.0%	No
JUND		1	1	190	0.5%	No
DMRTB1		2	2	122	1.6%	No
JUP		6	6	731	0.8%	No
SIPA1L3		15	14	1238	1.1%	No
KIF1B		17	17	1511	1.1%	No
IQSEC2		16	15	1329	1.1%	No
CDK19		8	8	1184	0.7%	No
PNPLA8		5	5	995	0.5%	No
SARM1		8	7	845	0.8%	No
ZBTB43		7	5	925	0.5%	No
JARID2		11	11	1247	0.9%	Yes
PLB1		18	16	977	1.6%	No
ZNF423		11	9	1002	0.9%	No
ZC3H13		13	12	1511	0.8%	No
JUN		17	16	1715	0.9%	Yes
KERA		2	2	187	1.1%	No
DNAJB4		6	6	1454	0.4%	No
ARHGEF4		14	14	1338	1.0%	No
DIDO1		21	19	1306	1.5%	No
ESM1		2	2	222	0.9%	No
ADAM30		8	7	786	0.9%	No
ADAM29		14	14	1332	1.1%	No
SETD1B		20	18	1611	1.1%	Yes
ZNF433		2	2	316	0.6%	No
CLSPN		13	10	1156	0.9%	No
KCNA2		6	6	1146	0.5%	No
ZNF609		11	11	1403	0.8%	No
KCNA3		1	1	122	0.8%	No
TBC1D9B		10	10	1074	0.9%	No
KCNA4		11	10	1274	0.8%	No
GGA2		6	6	1158	0.5%	No
WAPL		6	6	867	0.7%	No
SETX		25	24	1676	1.4%	No
EMC1		9	9	1389	0.6%	No
SLC45A1		9	9	1056	0.9%	No
CAND2		15	12	1554	0.8%	No
ARHGEF3		3	3	868	0.3%	No
ANOS1		7	5	1084	0.5%	No
CD82		1	1	30	3.3%	No
KCNA1		10	9	1215	0.7%	No
WDR5		6	6	1084	0.6%	No
CACFD1		1	1	507	0.2%	No
ADAMTS13		19	19	1481	1.3%	No
ADAMTS5		16	16	1454	1.1%	No
TP53AIP1		1	1	122	0.8%	No
ADAMTS8		2	2	122	1.6%	No
PRSS23		4	4	1084	0.4%	No
KCND1		8	8	1454	0.6%	No
KIF13A		28	27	1511	1.8%	No
NUP42		6	5	1001	0.5%	No
VWA8		10	10	1454	0.7%	No
NEUROD6		11	11	1238	0.9%	No
NEUROG2		5	5	731	0.7%	No
ZNF791		11	11	1268	0.9%	No
RGPD2		2	2	507	0.4%	No
PRDM16		21	19	1403	1.4%	Yes
TMED4		1	1	65	1.5%	No
PRDM14		12	12	1706	0.7%	Yes
PRDM15		10	10	1432	0.7%	No
FIGNL1		3	3	537	0.6%	No
KCNC3		10	6	947	0.6%	No
CMTR1		9	9	1554	0.6%	No
ERP44		5	5	468	1.1%	No
KCNC4		2	2	338	0.6%	No
HECW1		33	29	1619	1.8%	No
ZNF564		1	1	122	0.8%	No
BLTP3B		14	14	1454	1.0%	No
SWAP70		7	7	1454	0.5%	No
RRP1B		4	4	246	1.6%	No
MYCBP2		34	33	1611	2.0%	No
KCNA5		13	12	1454	0.8%	No
PTPN21		4	4	767	0.5%	No
KCNA6		7	7	940	0.7%	No
KCNA7		7	7	1332	0.5%	No
KCNA10		6	5	1025	0.5%	No
KCNB1		10	9	1238	0.7%	No
KCNC1		8	7	549	1.3%	No
KCNC2		6	6	1135	0.5%	No
RNF180		8	7	1280	0.5%	No
SREK1IP1		3	3	877	0.3%	No
KCNJ3		5	5	968	0.5%	No
ZNF454		5	5	634	0.8%	No
KCNJ4		5	5	1035	0.5%	No
C5ORF60		7	7	1142	0.6%	No
KCNJ2		8	8	1329	0.6%	No
TMEM145		6	6	1152	0.5%	No
KCND2		12	11	1238	0.9%	No
KCND3		8	8	808	1.0%	No
KCNF1		8	6	731	0.8%	No
SSX4B		1	1	507	0.2%	No
KCNG1		3	3	868	0.3%	No
KCNH1		23	22	1511	1.5%	No
KCNH2		8	8	1085	0.7%	No
KCNJ1		3	3	694	0.4%	No
KCNJ14		1	1	122	0.8%	No
KCNJ15		8	6	1332	0.5%	No
CHD3		26	23	1454	1.6%	No
CHD2		16	16	1554	1.0%	Yes
CHD1		23	22	1878	1.2%	No
RCC1		5	5	616	0.8%	No
CHAT		8	7	686	1.0%	No
RCBTB2		7	7	1200	0.6%	No
CHAD		4	4	338	1.2%	No
C19ORF54		4	4	1026	0.4%	No
KCNJ5		1	1	65	1.5%	Yes
KCNJ6		5	5	1025	0.5%	No
ZNF780A		6	6	1181	0.5%	No
KCNJ8		4	4	913	0.4%	No
KCNJ9		4	4	368	1.1%	No
KCNJ10		8	8	1303	0.6%	No
KCNJ11		3	1	122	0.8%	No
KCNJ12		11	11	1403	0.8%	No
AKR1C4		5	4	1035	0.4%	No
CHD4		39	36	1454	2.5%	Yes
KCNJ13		1	1	190	0.5%	No
SYCE1L		5	5	723	0.7%	No
KCNN2		9	9	1374	0.7%	No
KCNN3		9	9	1142	0.8%	No
KCNN4		3	3	179	1.7%	No
CHM		12	12	1554	0.8%	No
CHKB		1	1	507	0.2%	No
CHIT1		4	4	825	0.5%	No
CHI3L2		5	5	999	0.5%	No
CHI3L1		8	8	1362	0.6%	No
CHGB		16	14	1149	1.2%	No
FRK		2	2	281	0.7%	No
CHGA		2	2	723	0.3%	No
FOXN3		3	3	868	0.3%	No
CHEK1		2	2	743	0.3%	Yes
KCNJ16		6	5	800	0.6%	No
ZSCAN1		16	11	1205	0.9%	No
SDCBPP2		1	1	239	0.4%	No
KCNK1		3	3	438	0.7%	No
KCNK2		7	7	993	0.7%	No
KCNK3		5	5	1238	0.4%	No
KCNMA1		13	12	1511	0.8%	No
KCNMB1		1	1	122	0.8%	No
CHKA		2	2	370	0.5%	No
KCNS3		6	6	1025	0.6%	No
KDR		27	23	2124	1.1%	Yes
KEL		4	4	1035	0.4%	Yes
CHRM4		5	5	855	0.6%	No
CHRM3		7	7	1067	0.7%	No
LYST		36	35	1676	2.1%	No
CHRM2		9	8	1272	0.6%	No
ZNF776		8	8	1142	0.7%	No
CHRM1		8	7	845	0.8%	No
ZIK1		2	2	723	0.3%	No
ZNF547		3	3	629	0.5%	No
